Hierarchy,Name,Starttime,Endtime,
1,ASIA,1950,2100,
2,Eastern Asia,1950,2100,
3,China,1950,2100,
3,"China, Hong Kong SAR",1950,2100,
3,"China, Macao SAR",1950,2100,
3,"China, Taiwan Province of China",1950,2100,
3,Dem. People's Republic of Korea,1950,2100,
3,Japan,1950,2100,
3,Mongolia,1950,2100,
3,Republic of Korea,1950,2100,
2,South-Central Asia,1950,2100,
3,Central Asia,1950,2100,
4,Kazakhstan,1950,2100,
4,Kyrgyzstan,1950,2100,
4,Tajikistan,1950,2100,
4,Turkmenistan,1950,2100,
4,Uzbekistan,1950,2100,
3,Southern Asia,1950,2100,
4,Afghanistan,1950,2100,
4,Bangladesh,1950,2100,
4,Bhutan,1950,2100,
4,India,1950,2100,
4,Iran (Islamic Republic of),1950,2100,
4,Maldives,1950,2100,
4,Nepal,1950,2100,
4,Pakistan,1950,2100,
4,Sri Lanka,1950,2100,
2,South-Eastern Asia,1950,2100,
3,Brunei Darussalam,1950,2100,
3,Cambodia,1950,2100,
3,Indonesia,1950,2100,
3,Lao People's Democratic Republic,1950,2100,
3,Malaysia,1950,2100,
3,Myanmar,1950,2100,
3,Philippines,1950,2100,
3,Singapore,1950,2100,
3,Thailand,1950,2100,
3,Timor-Leste,1950,2100,
3,Viet Nam,1950,2100,
2,Western Asia,1950,2100,
3,Armenia,1950,2100,
3,Azerbaijan,1950,2100,
3,Bahrain,1950,2100,
3,Cyprus,1950,2100,
3,Georgia,1950,2100,
3,Iraq,1950,2100,
3,Israel,1950,2100,
3,Jordan,1950,2100,
3,Kuwait,1950,2100,
3,Lebanon,1950,2100,
3,Oman,1950,2100,
3,Qatar,1950,2100,
3,Saudi Arabia,1950,2100,
3,State of Palestine,1950,2100,
3,Syrian Arab Republic,1950,2100,
3,Turkey,1950,2100,
3,United Arab Emirates,1950,2100,
3,Yemen,1950,2100,
